Time,Interior Temp,Exterior Temp,Relative Humidity,Air Pressure,Acceleration (X),Acceleration (Z)
186,36.13,36.13,37.42,12.26,1.028,0.347
187,36.13,36.13,36.94,12.26,1.028,0.347
188,36.13,36.13,37.1,12.26,1.028,0.362
189,36.13,36.13,37.42,12.26,1.013,0.347
190,36.13,36.13,37.42,12.26,1.028,0.347
191,37.01,36.13,37.1,12.26,1.013,0.347
192,37.01,36.13,37.42,12.26,1.028,0.362
193,35.26,36.13,37.26,12.26,1.028,0.362
194,36.13,35.26,37.42,12.26,1.013,0.347
195,36.13,36.13,37.42,12.22,1.013,0.347
196,36.13,35.26,37.42,12.26,1.013,0.332
197,36.13,36.13,37.42,12.26,1.028,0.347
198,36.13,36.13,37.1,12.26,1.028,0.362
199,37.01,35.26,37.42,12.24,1.013,0.347
200,36.13,36.13,36.94,12.26,1.013,0.347
201,37.01,36.13,37.26,12.26,1.013,0.347
202,36.13,36.13,37.42,12.22,1.028,0.362
203,37.01,36.13,37.26,12.26,1.013,0.347
204,37.01,35.26,36.94,12.26,1.013,0.347
205,37.01,36.13,37.26,12.26,1.028,0.347
206,35.26,36.13,37.1,12.26,1.013,0.347
207,37.01,36.13,37.42,12.26,1.013,0.347
208,37.01,35.26,36.94,12.26,1.013,0.347
209,37.01,36.13,37.42,12.26,1.028,0.347
210,37.01,36.13,36.94,12.26,1.028,0.362
211,37.01,36.13,37.26,12.26,1.028,0.347
212,37.01,36.13,37.42,12.26,1.043,0.347
213,37.01,36.13,37.1,12.26,1.013,0.347
214,36.13,36.13,37.1,12.26,1.013,0.347
215,37.01,36.13,36.94,12.27,0.998,0.332
216,37.01,36.13,37.42,12.26,1.013,0.332
217,37.01,36.13,37.42,12.26,1.013,0.332
218,37.01,36.13,36.94,12.26,1.013,0.347
219,35.26,36.13,36.94,12.26,1.028,0.347
220,37.01,36.13,37.1,12.26,1.013,0.347
221,37.01,36.13,37.42,12.26,0.998,0.347
222,35.26,36.13,37.26,12.22,1.028,0.347
223,37.01,36.13,37.1,12.26,1.013,0.362
224,35.26,36.13,37.1,12.27,1.028,0.362
225,37.01,36.13,37.42,12.26,1.013,0.362
226,35.26,36.13,37.26,12.26,1.013,0.362
227,37.01,36.13,36.94,12.26,1.028,0.347
228,37.01,36.13,37.26,12.26,1.028,0.362
229,36.13,36.13,37.26,12.26,1.013,0.347
230,36.13,36.13,36.79,12.26,1.013,0.347
231,36.13,36.13,37.1,12.26,1.013,0.347
232,37.01,35.26,37.26,12.26,1.013,0.347
233,37.01,36.13,36.94,12.26,1.013,0.332
234,37.01,36.13,37.26,12.26,1.013,0.347
235,36.13,36.13,37.42,12.26,1.013,0.362
236,37.01,36.13,37.1,12.26,1.013,0.362
237,37.01,36.13,37.1,12.26,1.013,0.347
238,36.13,36.13,37.26,12.26,1.028,0.347
239,36.13,36.13,37.42,12.26,1.013,0.347
240,36.13,36.13,36.79,12.26,1.013,0.347
241,35.26,36.13,37.1,12.26,1.028,0.347
242,36.13,36.13,37.42,12.26,1.013,0.347
243,36.13,36.13,37.26,12.26,1.013,0.347
244,36.13,36.13,36.94,12.26,1.028,0.347
245,36.13,36.13,37.26,12.26,1.013,0.347
246,37.01,36.13,37.26,12.27,1.013,0.347
247,36.13,36.13,37.26,12.26,1.013,0.347
248,36.13,36.13,37.26,12.26,1.013,0.347
249,37.01,36.13,37.26,12.26,1.013,0.347
250,36.13,36.13,36.79,12.26,1.028,0.347
251,35.26,36.13,37.42,12.26,1.028,0.347
252,35.26,36.13,36.79,12.26,1.013,0.332
253,37.01,36.13,37.26,12.26,1.013,0.332
254,36.13,36.13,36.94,12.22,1.013,0.347
255,36.13,36.13,37.42,12.27,1.013,0.332
256,37.01,36.13,37.26,12.26,1.028,0.347
257,36.13,36.13,37.26,12.26,1.013,0.362
258,37.01,36.13,36.94,12.26,1.013,0.347
259,36.13,36.13,37.26,12.26,1.013,0.347
260,36.13,36.13,37.26,12.27,1.013,0.347
261,36.13,36.13,37.26,12.26,1.028,0.347
262,36.13,36.13,37.26,12.26,1.013,0.362
263,37.01,36.13,36.63,12.26,1.043,0.347
264,36.13,36.13,36.79,12.26,1.028,0.347
265,36.13,36.13,36.94,12.22,1.028,0.347
266,36.13,36.13,36.94,12.27,1.028,0.347
267,36.13,36.13,36.79,12.26,1.013,0.347
268,36.13,36.13,37.26,12.22,1.013,0.362
269,37.01,35.26,36.94,12.26,1.013,0.347
270,37.01,36.13,36.94,12.26,1.028,0.362
271,37.01,36.13,36.94,12.26,1.013,0.347
272,37.01,36.13,37.26,12.24,1.028,0.347
273,37.01,36.13,36.79,12.26,1.013,0.347
274,37.01,36.13,36.94,12.27,1.013,0.332
275,37.01,36.13,37.1,12.26,1.013,0.332
276,37.01,36.13,36.79,12.26,1.013,0.347
277,37.01,36.13,36.79,12.26,1.028,0.347
278,37.01,36.13,36.94,12.26,1.028,0.347
279,37.01,36.13,36.79,12.26,1.028,0.347
280,37.01,36.13,36.79,12.26,1.013,0.347
281,37.01,36.13,36.79,12.26,1.013,0.347
282,36.13,36.13,36.94,12.26,1.013,0.347
283,36.13,36.13,37.26,12.26,1.013,0.347
284,36.13,36.13,37.26,12.26,1.028,0.347
285,37.01,36.13,37.26,12.26,1.013,0.347
286,35.26,36.13,37.26,12.26,1.013,0.347
287,37.01,36.13,36.94,12.26,1.013,0.347
288,36.13,36.13,36.79,12.26,1.013,0.347
289,36.13,36.13,36.94,12.26,1.028,0.347
290,37.01,36.13,36.79,12.26,1.043,0.347
291,37.01,36.13,37.26,12.26,1.013,0.347
292,37.01,36.13,36.94,12.26,1.028,0.347
293,36.13,36.13,37.26,12.26,1.013,0.347
294,36.13,36.13,36.94,12.26,0.998,0.332
295,36.13,36.13,36.79,12.26,1.013,0.347
296,37.01,36.13,36.79,12.26,1.013,0.332
297,37.01,36.13,36.94,12.26,1.013,0.347
298,37.01,36.13,37.26,12.26,1.013,0.347
299,37.01,36.13,36.79,12.26,1.013,0.347
300,37.01,36.13,37.26,12.26,1.028,0.347
301,36.13,36.13,37.26,12.26,1.013,0.347
302,36.13,36.13,37.1,12.26,1.013,0.347
303,37.01,36.13,37.42,12.26,1.013,0.347
304,36.13,36.13,37.1,12.26,1.028,0.347
305,37.01,36.13,37.26,12.26,1.028,0.347
306,37.01,36.13,37.1,12.26,1.013,0.347
307,36.13,36.13,36.94,12.26,1.013,0.347
308,36.13,36.13,37.26,12.26,1.013,0.347
309,36.13,36.13,37.42,12.26,1.028,0.347
310,36.13,36.13,37.26,12.26,1.013,0.347
311,36.13,36.13,37.57,12.26,1.013,0.347
312,36.13,36.13,37.1,12.26,1.028,0.347
313,36.13,36.13,37.42,12.24,1.013,0.347
314,37.01,36.13,37.42,12.26,0.998,0.332
315,37.01,35.26,36.94,12.22,1.013,0.347
316,37.01,36.13,37.57,12.26,1.013,0.332
317,37.01,36.13,37.42,12.26,1.013,0.362
318,37.01,36.13,37.57,12.26,1.028,0.347
319,36.13,36.13,41.83,12.26,1.013,0.347
320,36.13,36.13,37.26,12.24,1.013,0.347
321,36.13,36.13,37.1,12.26,0.998,0.347
322,36.13,36.13,37.1,12.26,1.028,0.347
323,36.13,36.13,37.26,12.26,1.028,0.347
324,36.13,36.13,37.26,12.22,1.028,0.362
325,37.01,36.13,37.73,12.26,1.028,0.362
326,37.01,36.13,37.42,12.24,1.013,0.347
327,37.01,36.13,37.26,12.26,1.028,0.362
328,37.01,36.13,37.57,12.26,1.013,0.347
329,37.89,36.13,37.1,12.26,1.028,0.347
330,37.01,36.13,37.26,12.26,1.013,0.347
331,37.01,36.13,37.26,12.26,1.028,0.347
332,37.01,36.13,37.57,12.26,1.028,0.347
333,36.13,36.13,37.26,12.26,1.028,0.347
334,37.01,36.13,37.1,12.26,1.013,0.347
335,37.01,36.13,37.26,12.26,1.013,0.332
336,36.13,36.13,37.1,12.26,1.013,0.332
337,36.13,36.13,37.57,12.26,1.028,0.347
338,36.13,36.13,37.26,12.26,1.028,0.347
339,37.89,36.13,37.1,12.26,1.013,0.347
340,37.01,36.13,37.42,12.26,1.013,0.347
341,36.13,36.13,36.94,12.26,0.998,0.347
342,36.13,36.13,37.1,12.26,1.028,0.347
343,36.13,36.13,37.26,12.26,1.013,0.347
344,37.89,36.13,37.73,12.27,1.028,0.347
345,36.13,36.13,36.94,12.26,1.028,0.347
346,37.01,36.13,37.1,12.26,1.028,0.347
347,37.01,36.13,37.1,12.26,1.013,0.332
348,36.13,36.13,37.26,12.26,1.013,0.347
349,37.01,36.13,37.1,12.26,0.984,0.347
350,37.01,36.13,37.26,12.26,1.028,0.347
351,37.01,36.13,37.26,12.26,1.028,0.347
352,36.13,36.13,37.26,12.26,1.028,0.347
353,36.13,36.13,37.57,12.26,1.028,0.347
354,36.13,36.13,37.73,12.26,1.028,0.347
355,36.13,36.13,37.57,12.26,1.013,0.347
356,36.13,36.13,37.73,12.26,1.013,0.347
357,36.13,36.13,37.26,12.26,1.013,0.347
358,37.01,36.13,37.73,12.26,1.028,0.347
359,37.01,36.13,37.1,12.26,1.013,0.347
360,37.01,36.13,37.26,12.26,1.028,0.347
